num_opportunities,EMP_2016,ERP_2016,,
933,162365.6849,1925.292591,6.81E+01,
934,98402.98897,2460.874124,5.27E+01,
935,93269.49185,3541.619633,7.19E+01,
936,92543.58237,4663.113059,9.40E+01,
939,818556.1294,2636.237426,4.70E+02,
940,485873.7357,1896.96598,2.01E+02,
941,483219.2264,3094.933153,3.26E+02,
942,239318.2241,2433.936415,1.27E+02,
943,164341.1247,2759.964603,9.88E+01,
944,554512.9195,1827.039435,2.21E+02,
945,529355.3216,2012.94743,2.32E+02,
946,574668.8653,937.9755577,1.17E+02,
949,410469.6994,1647.94158,1.47E+02,
950,670059.9757,2407.527303,3.51E+02,
951,560365.9245,2683.008802,3.27E+02,
952,821006.4926,2625.679488,4.69E+02,
953,832861.8357,551.9331342,1.00E+02,
954,635736.6612,1486.761816,2.06E+02,
955,334842.8533,2638.147877,1.92E+02,
958,337385.5985,1226.918081,9.01E+01,
959,37987.78894,2242.850155,1.86E+01,
960,103004.2649,2093.860117,4.70E+01,
961,212322.5378,363.4442702,1.68E+01,
962,124561.9885,0.000113795,3.09E-06,
963,619125.6141,835.8848124,1.13E+02,
964,367446.4468,4130.723931,3.30E+02,
965,147829.4874,1487.487579,4.79E+01,
966,188764.4045,2625.377456,1.08E+02,
967,283151.5521,1165.513142,7.19E+01,
968,491148.0535,893.9403438,9.56E+01,
969,841825.4757,2793.378697,5.12E+02,
970,963034.5219,1705.273915,3.58E+02,
971,916183.5849,1649.093088,3.29E+02,
972,72895.28443,1810.391659,2.87E+01,
973,208951.4775,1740.669175,7.92E+01,
974,728534.6395,4455.297011,7.07E+02,
975,534582.1836,2386.029726,2.78E+02,
976,13759.99125,0.000106536,3.19E-07,
977,92666.54133,1519.956767,3.07E+01,
978,47298.88535,2123.349093,2.19E+01,
