num_opportunities,Base 30 Mins,30 Mins,Base 45 Mins,45 Mins,Base 60 Mins,60 Mins,TZ16_CODE,,TZ16_NAME,Tz16_Area
184,531156.7638,154678.171,885742.2654,196652.66,1255293.19,203268.5946,184,YES,Darlinghurst_Little Oxford St and Crown St,37771.28775
185,441353.1774,110528.9207,838850.5736,109266.3137,1224997.732,84204.37897,185,YES,Paddington_Flinders St and Taylor St,46879.10725
186,404581.5077,45337.47861,715590.8891,65542.4288,1179532.991,73159.99074,186,YES,Darling Island_Pyremont Park,142837.3689
187,531248.2825,55964.43828,944944.0027,95615.50552,1370307.117,63040.39065,187,YES,City Star Casino,126462.5923
188,579759.6883,61668.62492,939626.6177,104748.9664,1342467.592,84637.67932,188,YES,Oxford Square,47579.91999
189,573563.6181,12801.96333,956348.8359,47835.49923,1342688.805,43481.70833,189,YES,Goulburn St and Brisbane St,29150.99879
190,532768.243,66034.79756,896551.1505,102881.8103,1282580.731,102372.7088,190,YES,Sydney Police Centre,30316.65012
191,514073.0498,112587.3791,876823.6036,173179.58,1258174.603,148204.8284,191,YES,Darlinghurst_Lower Darling St,10865.46848
192,643873.6323,603.7453092,1009040.707,13614.25665,1429353.198,4983.145792,192,YES,Campbell St and Mary St,27883.46256
193,539487.0398,16553.8934,942763.6354,45396.72196,1335857.376,39290.82787,193,YES,Campbell St and Riley St,87823.02853
194,745287.2469,1.53E-05,1133185.816,4707.043019,1511271.585,194.2066445,194,YES,Centennial Plaza,19079.8743
195,617195.2054,5516.63867,1004056.251,14702.03761,1428525.737,5452.119937,195,YES,Albion St and Riley St,61938.17188
196,439019.6337,111535.2958,855608.0319,110831.1244,1265290.149,74637.81575,196,YES,Albion St and Flinders St,200637.2489
197,744884.9369,-4.36E-05,1145572.598,5305.792618,1526475.977,194.2063389,197,YES,United Dental Hospital Of Sydney,48153.17301
198,608295.5029,19047.9786,994672.0501,34806.05999,1422400.842,11313.42029,198,YES,News Ltd,107285.5227
199,419798.5096,119555.1833,855397.5355,108223.6925,1259111.142,78041.4461,199,YES,Bourke St and Arthur St,207204.5252
200,629711.4435,1.15E-06,1023370.822,2947.0955,1415433.082,4623.645859,200,YES,Prince Alfred Park,90732.58601
201,580883.2917,13018.63774,979167.3079,39620.95285,1382153.259,26539.28816,201,YES,Strawberry Hills_Elizabeth St and Belvoir St,190652.9734
202,415699.413,172773.3562,860464.3718,139817.6585,1263096.259,110740.2488,202,YES,Bourke St and Mort St,154619.2077
205,563691.9419,-1.42E-05,944485.761,3009.025228,1333460.08,2151.308603,205,YES,Lee St_Sydney,32822.56965
206,470594.7031,7.28E-06,867482.1437,1127.162111,1279752.265,5999.593296,206,YES,CUB Site Chippendale_North,67788.95451
207,334235.2435,1.57E-06,829655.3863,7308.987067,1261879.846,6823.209442,207,YES,Chippendale,187159.211
